web-scraper-order,web-scraper-start-url,name,name-href,category
1533200757-269,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Swiss Stout,https://www.ratebeer.com/beer/locher-swiss-stout/396271/,Stout
1533200757-272,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Vollmond Buegel-Spez Naturtrueb,https://www.ratebeer.com/beer/locher-vollmond-buegel-spez-naturtrueb/6527/,Premium Lager
1533200757-209,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,1936 Bière,https://www.ratebeer.com/beer/1936-biere/165791/,Pilsener
1533200757-246,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Happy Green Strong,https://www.ratebeer.com/beer/locher-happy-green-strong/117862/,Spice/Herb/Vegetable
1533200757-229,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Arosa Enzian Bräu,https://www.ratebeer.com/beer/locher-arosa-enzian-brau/28044/,Spice/Herb/Vegetable
1533200757-273,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Weizenbier,https://www.ratebeer.com/beer/locher-weizenbier/6522/,German Hefeweizen
1533200757-221,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Damn Good Bread Beer,https://www.ratebeer.com/beer/damn-good-bread-beer/590393/,Dortmunder/Helles
1533200757-264,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Quöllfrisch Naturtrüb,https://www.ratebeer.com/beer/locher-quollfrisch-naturtrub/6528/,Zwickel/Keller/Landbier
1533200757-228,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Alpstein Bock,https://www.ratebeer.com/beer/locher-alpstein-bock/264516/,Heller Bock
1533200757-217,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Calvinus Blanche,https://www.ratebeer.com/beer/calvinus-blanche/13865/,Witbier
1533200757-252,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Lager Dunkel,https://www.ratebeer.com/beer/locher-lager-dunkel/31151/,Dunkel/Tmavý
1533200757-232,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Bio Naturplus Selection Manor Unfiltered,https://www.ratebeer.com/beer/locher-bio-naturplus-selection-manor-unfiltered/29277/,Pale Lager
1533200757-258,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Naturperle,https://www.ratebeer.com/beer/locher-naturperle/29425/,Zwickel/Keller/Landbier
1533200757-216,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Calvinus Ambrée,https://www.ratebeer.com/beer/calvinus-ambree/125122/,Amber Ale
1533200757-233,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Birra da Ris Nostrana Ticinese,https://www.ratebeer.com/beer/locher-birra-da-ris-nostrana-ticinese/69989/,Specialty Grain
1533200757-266,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Schwarzer Kristall,https://www.ratebeer.com/beer/locher-schwarzer-kristall/78675/,Schwarzbier
1533200757-211,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Ackermann Häxli Black,https://www.ratebeer.com/beer/ackermann-haxli-black/121854/,Schwarzbier
1533200757-270,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Säntis Kristall Spezial,https://www.ratebeer.com/beer/locher-santis-kristall-spezial/6529/,Pilsener
1533200757-241,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Ginger Beer,https://www.ratebeer.com/beer/locher-ginger-beer/600007/,Spice/Herb/Vegetable
1533200757-215,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Aemme-Bräu Trüeb,https://www.ratebeer.com/beer/aemme-brau-trueb/9380/,Pale Lager
1533200757-227,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Alkoholfrei Flauder-Panaché,https://www.ratebeer.com/beer/locher-alkoholfrei-flauder-panache/58408/,Radler/Shandy
1533200757-239,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Coop Bio Weizenbier,https://www.ratebeer.com/beer/locher-coop-bio-weizenbier/39458/,German Hefeweizen
